instance_name,variant,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,feasible,cpu_time
RDL-n25-02,No-Penalty,10,10000,0.1,0.4,0.997,100,475.581478,424.213173,43.783207,0.0,7.585098,4,0.16,1.0,0.0,True,29.757122
RDL-n25-02,No-DelayAware,1,10000,0.1,0.4,0.997,100,551.915837,445.775261,36.45335,62.370455,7.31677,3,0.12,0.84,0.249482,True,25.778797
RDL-n25-02,No-DelayAware,2,10000,0.1,0.4,0.997,100,969.025262,504.743345,0.0,464.281917,0.0,0,0.0,0.72,1.857128,True,27.946167
RDL-n25-02,No-DelayAware,3,10000,0.1,0.4,0.997,100,956.609493,440.798564,36.891589,473.239086,5.680255,3,0.12,0.64,1.892956,True,25.654397
RDL-n25-02,No-DelayAware,4,10000,0.1,0.4,0.997,100,554.338795,445.885566,36.45335,64.683109,7.31677,3,0.12,0.84,0.258732,True,27.671961
RDL-n25-02,No-DelayAware,5,10000,0.1,0.4,0.997,100,1070.621476,455.941719,14.780866,599.65806,0.240832,1,0.04,0.72,2.398632,True,27.427191
RDL-n25-02,No-DelayAware,6,10000,0.1,0.4,0.997,100,551.959484,445.818908,36.45335,62.370455,7.31677,3,0.12,0.84,0.249482,True,27.679556
RDL-n25-02,No-DelayAware,7,10000,0.1,0.4,0.997,100,578.071131,444.312726,36.45335,89.988285,7.31677,3,0.12,0.8,0.359953,True,26.303898
RDL-n25-02,No-DelayAware,8,10000,0.1,0.4,0.997,100,594.157683,408.103202,51.113064,126.606612,8.334805,5,0.2,0.68,0.506426,True,28.564021
RDL-n25-02,No-DelayAware,9,10000,0.1,0.4,0.997,100,560.462805,454.881185,36.45335,61.8115,7.31677,3,0.12,0.8,0.247246,True,24.912526
RDL-n25-02,No-DelayAware,10,10000,0.1,0.4,0.997,100,600.807311,464.463063,43.783207,84.783836,7.777205,4,0.16,0.8,0.339135,True,26.357223
RDL-n25-02,No-ModeSwitch,1,10000,0.1,0.4,0.997,100,473.23129,417.331804,43.783207,4.53118,7.585098,4,0.16,0.92,0.018125,True,30.668659
RDL-n25-02,No-ModeSwitch,2,10000,0.1,0.4,0.997,100,482.035753,437.856909,36.45335,0.0,7.725494,3,0.12,1.0,0.0,True,30.082287
RDL-n25-02,No-ModeSwitch,3,10000,0.1,0.4,0.997,100,475.434163,424.065857,43.783207,0.0,7.585098,4,0.16,1.0,0.0,True,30.888905
RDL-n25-02,No-ModeSwitch,4,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,True,30.623688
RDL-n25-02,No-ModeSwitch,5,10000,0.1,0.4,0.997,100,482.57881,438.399966,36.45335,0.0,7.725494,3,0.12,1.0,0.0,True,30.547547
RDL-n25-02,No-ModeSwitch,6,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,30.542241
RDL-n25-02,No-ModeSwitch,7,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,30.882033
RDL-n25-02,No-ModeSwitch,8,10000,0.1,0.4,0.997,100,474.687639,424.625761,36.45335,6.291758,7.31677,3,0.12,0.96,0.025167,True,30.162704
RDL-n25-02,No-ModeSwitch,9,10000,0.1,0.4,0.997,100,478.275436,426.573697,43.344968,0.0,8.35677,4,0.16,1.0,0.0,True,30.603721
RDL-n25-02,No-ModeSwitch,10,10000,0.1,0.4,0.997,100,479.060212,407.482978,58.44292,4.53118,8.603133,6,0.24,0.92,0.018125,True,30.491796
RDL-n25-02,No-TWRemoval,1,10000,0.1,0.4,0.997,100,494.054821,430.075772,51.113064,4.53118,8.334805,5,0.2,0.92,0.018125,True,28.152567
RDL-n25-02,No-TWRemoval,2,10000,0.1,0.4,0.997,100,489.036215,440.734914,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,True,28.03762
RDL-n25-02,No-TWRemoval,3,10000,0.1,0.4,0.997,100,475.643625,424.182906,43.783207,0.092413,7.585098,4,0.16,0.96,0.00037,True,28.262109
RDL-n25-02,No-TWRemoval,4,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,28.987818
RDL-n25-02,No-TWRemoval,5,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,28.895983
RDL-n25-02,No-TWRemoval,6,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,28.499533
RDL-n25-02,No-TWRemoval,7,10000,0.1,0.4,0.997,100,477.456977,425.679948,43.783207,0.0,7.993822,4,0.16,1.0,0.0,True,28.162591
RDL-n25-02,No-TWRemoval,8,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,27.771705
RDL-n25-02,No-TWRemoval,9,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,27.771424
RDL-n25-02,No-TWRemoval,10,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,28.187278
RDL-n25-02,Basic-LNS,1,10000,0.1,0.4,0.997,100,499.238731,448.147574,43.344968,0.0,7.746189,4,0.16,1.0,0.0,True,14.1375
RDL-n25-02,Basic-LNS,2,10000,0.1,0.4,0.997,100,493.524533,449.345689,36.45335,0.0,7.725494,3,0.12,1.0,0.0,True,14.090392
RDL-n25-02,Basic-LNS,3,10000,0.1,0.4,0.997,100,495.02408,444.989874,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,14.389711
RDL-n25-02,Basic-LNS,4,10000,0.1,0.4,0.997,100,493.769357,449.999237,36.45335,0.0,7.31677,3,0.12,1.0,0.0,True,14.084368
RDL-n25-02,Basic-LNS,5,10000,0.1,0.4,0.997,100,486.699905,436.665698,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,14.146313
RDL-n25-02,Basic-LNS,6,10000,0.1,0.4,0.997,100,481.7737,431.739493,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,14.033853
RDL-n25-02,Basic-LNS,7,10000,0.1,0.4,0.997,100,493.769357,449.999237,36.45335,0.0,7.31677,3,0.12,1.0,0.0,True,14.155567
RDL-n25-02,Basic-LNS,8,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,True,14.083065
RDL-n25-02,Basic-LNS,9,10000,0.1,0.4,0.997,100,493.461955,449.283111,36.45335,0.0,7.725494,3,0.12,1.0,0.0,True,13.696813
RDL-n25-02,Basic-LNS,10,10000,0.1,0.4,0.997,100,493.461955,449.283111,36.45335,0.0,7.725494,3,0.12,1.0,0.0,True,14.165272
RDL-n25-03,Full-ALNS,1,10000,0.1,0.4,0.997,100,436.379128,416.176536,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,22.198257
RDL-n25-03,Full-ALNS,2,10000,0.1,0.4,0.997,100,454.208278,416.548068,35.837831,0.0,1.822379,3,0.12,1.0,0.0,True,21.986472
RDL-n25-03,Full-ALNS,3,10000,0.1,0.4,0.997,100,435.566096,415.363504,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,21.864969
RDL-n25-03,Full-ALNS,4,10000,0.1,0.4,0.997,100,459.448755,434.712268,21.262477,0.0,3.47401,3,0.12,1.0,0.0,True,21.990195
RDL-n25-03,Full-ALNS,5,10000,0.1,0.4,0.997,100,436.531033,416.328441,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,21.531619
RDL-n25-03,Full-ALNS,6,10000,0.1,0.4,0.997,100,439.86203,430.906924,4.571214,0.0,4.383891,2,0.08,1.0,0.0,True,21.813567
RDL-n25-03,Full-ALNS,7,10000,0.1,0.4,0.997,100,435.566096,415.363504,18.97687,0.0,1.225722,2,0.08,1.0,0.0,True,22.13806
