instance_name,parameter_name,parameter_value,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,max_delay,average_walking_distance,drone_utilization,feasible,cpu_time,incumbent_inherited,initial_incumbent_cost
RDL-n25-01,drone_range,12,6,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,20.977279,False,
RDL-n25-01,drone_range,16,6,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,21.280077,False,
RDL-n25-01,drone_range,20,6,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,20.634385,False,
RDL-n25-01,drone_range,24,6,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,21.345706,False,
RDL-n25-01,drone_range,30,6,10000,0.1,0.4,0.997,100,256.924805,250.509494,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.125,True,21.281557,False,
RDL-n25-01,drone_range,8,7,10000,0.1,0.4,0.997,100,252.014401,226.144885,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,20.24009,False,
RDL-n25-01,drone_range,12,7,10000,0.1,0.4,0.997,100,254.424313,243.599429,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.671572,False,
RDL-n25-01,drone_range,16,7,10000,0.1,0.4,0.997,100,254.424313,243.599429,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.442595,False,
RDL-n25-01,drone_range,20,7,10000,0.1,0.4,0.997,100,254.424313,243.599429,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.530708,False,
RDL-n25-01,drone_range,24,7,10000,0.1,0.4,0.997,100,254.424313,243.599429,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.42961,False,
RDL-n25-01,drone_range,30,7,10000,0.1,0.4,0.997,100,254.424313,243.599429,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.449774,False,
RDL-n25-01,drone_range,8,8,10000,0.1,0.4,0.997,100,252.268833,227.449812,21.203031,0.0,3.61599,4,0.16,1.0,0.0,0.0,0.451999,0.5,True,20.213796,False,
RDL-n25-01,drone_range,12,8,10000,0.1,0.4,0.997,100,254.623823,243.798939,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.527748,False,
RDL-n25-01,drone_range,16,8,10000,0.1,0.4,0.997,100,254.623823,243.798939,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.551277,False,
RDL-n25-01,drone_range,20,8,10000,0.1,0.4,0.997,100,254.623823,243.798939,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.521219,False,
RDL-n25-01,drone_range,24,8,10000,0.1,0.4,0.997,100,254.623823,243.798939,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.544889,False,
RDL-n25-01,drone_range,30,8,10000,0.1,0.4,0.997,100,254.623823,243.798939,9.221111,0.0,1.603773,2,0.08,1.0,0.0,0.0,0.400943,0.25,True,20.612526,False,
RDL-n25-01,drone_range,8,9,10000,0.1,0.4,0.997,100,252.014401,226.144885,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,19.902008,False,
RDL-n25-01,drone_range,12,9,10000,0.1,0.4,0.997,100,255.183032,229.628835,21.161178,0.0,4.393019,3,0.12,1.0,0.0,0.0,0.73217,0.375,True,20.250928,False,
RDL-n25-01,drone_range,16,9,10000,0.1,0.4,0.997,100,255.183032,229.628835,21.161178,0.0,4.393019,3,0.12,1.0,0.0,0.0,0.73217,0.375,True,20.237849,False,
RDL-n25-01,drone_range,20,9,10000,0.1,0.4,0.997,100,255.183032,229.628835,21.161178,0.0,4.393019,3,0.12,1.0,0.0,0.0,0.73217,0.375,True,20.268937,False,
RDL-n25-01,drone_range,24,9,10000,0.1,0.4,0.997,100,255.183032,229.628835,21.161178,0.0,4.393019,3,0.12,1.0,0.0,0.0,0.73217,0.375,True,20.251596,False,
RDL-n25-01,drone_range,30,9,10000,0.1,0.4,0.997,100,255.183032,229.628835,21.161178,0.0,4.393019,3,0.12,1.0,0.0,0.0,0.73217,0.375,True,20.223464,False,
RDL-n25-01,drone_range,8,10,10000,0.1,0.4,0.997,100,253.896008,242.124593,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.25,True,20.169806,False,
RDL-n25-01,drone_range,12,10,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,20.414375,False,
RDL-n25-01,drone_range,16,10,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,20.413252,False,
RDL-n25-01,drone_range,20,10,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,20.485453,False,
RDL-n25-01,drone_range,24,10,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,20.605445,False,
