Setting,Instance,n,Iterations,Run,XiMin,XiMax,Eta,Psi,Penalty,RestartFraction,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Restarts,Time,Feasible
Penalty-1e3,RDL-tune-n25-05,25,10000,1,0.1,0.4,0.997,100,1000.0,0.05,538.895416,484.99,49.95,1.63,2.33,21,4,16,22.629543,True
Penalty-1e3,RDL-tune-n25-05,25,10000,2,0.1,0.4,0.997,100,1000.0,0.05,544.829912,500.23,41.81,0.0,2.79,22,3,18,22.557501,True
Penalty-1e3,RDL-tune-n25-06,25,10000,0,0.1,0.4,0.997,100,1000.0,0.05,509.832284,509.83,0.0,0.0,0.0,25,0,17,19.773015,True
Penalty-1e3,RDL-tune-n25-06,25,10000,1,0.1,0.4,0.997,100,1000.0,0.05,504.696572,503.86,0.0,0.84,0.0,25,0,15,20.78107,True
Penalty-1e3,RDL-tune-n25-06,25,10000,2,0.1,0.4,0.997,100,1000.0,0.05,508.588131,508.59,0.0,0.0,0.0,25,0,15,21.912868,True
Penalty-1e3,RDL-tune-n25-07,25,10000,0,0.1,0.4,0.997,100,1000.0,0.05,593.759533,574.36,11.65,6.11,1.64,24,1,16,17.179453,True
Penalty-1e3,RDL-tune-n25-07,25,10000,1,0.1,0.4,0.997,100,1000.0,0.05,593.759533,574.36,11.65,6.11,1.64,24,1,15,17.69745,True
Penalty-1e3,RDL-tune-n25-07,25,10000,2,0.1,0.4,0.997,100,1000.0,0.05,599.331996,579.93,11.65,6.11,1.64,24,1,17,17.917243,True
Penalty-1e3,RDL-tune-n25-08,25,10000,0,0.1,0.4,0.997,100,1000.0,0.05,503.959326,421.4,70.06,3.5,9.0,18,7,18,25.553436,True
Penalty-1e3,RDL-tune-n25-08,25,10000,1,0.1,0.4,0.997,100,1000.0,0.05,511.783592,449.51,50.92,3.5,7.85,20,5,16,25.386778,True
Penalty-1e3,RDL-tune-n25-08,25,10000,2,0.1,0.4,0.997,100,1000.0,0.05,512.655305,451.79,50.92,2.47,7.47,20,5,15,25.822206,True
Penalty-1e5,RDL-tune-n25-01,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,443.931956,442.73,0.0,1.2,0.0,25,0,16,19.974583,True
Penalty-1e5,RDL-tune-n25-01,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,432.831138,432.83,0.0,0.0,0.0,25,0,18,19.193437,True
Penalty-1e5,RDL-tune-n25-01,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,436.865261,423.1,9.94,2.0,1.82,24,1,18,18.942952,True
Penalty-1e5,RDL-tune-n25-02,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,491.994279,407.34,80.49,0.0,4.16,19,6,17,24.958996,True
Penalty-1e5,RDL-tune-n25-02,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,492.008001,407.72,80.49,0.0,3.8,19,6,18,25.105947,True
Penalty-1e5,RDL-tune-n25-02,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,489.92447,405.63,80.49,0.0,3.8,19,6,16,26.675921,True
Penalty-1e5,RDL-tune-n25-03,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,459.534917,404.07,50.03,0.64,4.79,21,4,17,27.437583,True
Penalty-1e5,RDL-tune-n25-03,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,452.100942,372.97,70.76,0.64,7.73,19,6,18,28.790437,True
Penalty-1e5,RDL-tune-n25-03,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,459.576408,404.12,50.03,0.64,4.79,21,4,17,26.233926,True
Penalty-1e5,RDL-tune-n25-04,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,503.760649,503.76,0.0,0.0,0.0,25,0,17,19.509253,True
Penalty-1e5,RDL-tune-n25-04,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,505.533085,505.53,0.0,0.0,0.0,25,0,17,18.999937,True
Penalty-1e5,RDL-tune-n25-04,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,502.217032,493.64,7.54,0.0,1.04,24,1,14,18.919167,True
Penalty-1e5,RDL-tune-n25-05,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,541.669999,489.39,49.95,0.0,2.33,21,4,19,22.599923,True
Penalty-1e5,RDL-tune-n25-05,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,538.895416,484.99,49.95,1.63,2.33,21,4,16,22.918437,True
Penalty-1e5,RDL-tune-n25-05,25,10000,2,0.1,0.4,0.997,100,100000.0,0.05,544.829912,500.23,41.81,0.0,2.79,22,3,18,22.570554,True
Penalty-1e5,RDL-tune-n25-06,25,10000,0,0.1,0.4,0.997,100,100000.0,0.05,509.832284,509.83,0.0,0.0,0.0,25,0,17,20.320896,True
Penalty-1e5,RDL-tune-n25-06,25,10000,1,0.1,0.4,0.997,100,100000.0,0.05,504.696572,503.86,0.0,0.84,0.0,25,0,15,21.639279,True
