Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-n5-01,5,5000,0.1,0.4,0.997,100,0,104.14,86.96,16.52,0.0,0.66,4,1,1.28,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,1,104.14,86.96,16.52,0.0,0.66,4,1,1.29,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,2,104.14,86.96,16.52,0.0,0.66,4,1,1.31,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,3,104.14,86.96,16.52,0.0,0.66,4,1,1.26,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,4,104.14,86.96,16.52,0.0,0.66,4,1,1.28,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,5,104.14,86.96,16.52,0.0,0.66,4,1,1.27,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,6,104.14,86.96,16.52,0.0,0.66,4,1,1.35,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,7,104.14,86.96,16.52,0.0,0.66,4,1,1.35,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,8,104.14,86.96,16.52,0.0,0.66,4,1,1.31,True
RDL-n5-01,5,5000,0.1,0.4,0.997,100,9,104.14,86.96,16.52,0.0,0.66,4,1,1.28,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,0,186.46,130.96,52.85,0.0,2.65,2,3,1.26,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,1,186.46,130.96,52.85,0.0,2.65,2,3,1.32,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,2,186.46,130.96,52.85,0.0,2.65,2,3,1.31,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,3,186.46,130.96,52.85,0.0,2.65,2,3,1.3,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,4,186.46,130.96,52.85,0.0,2.65,2,3,1.3,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,5,186.46,130.96,52.85,0.0,2.65,2,3,1.29,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,6,186.46,130.96,52.85,0.0,2.65,2,3,1.34,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,7,186.46,130.96,52.85,0.0,2.65,2,3,1.29,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,8,186.46,130.96,52.85,0.0,2.65,2,3,1.33,True
RDL-n5-02,5,5000,0.1,0.4,0.997,100,9,186.46,130.96,52.85,0.0,2.65,2,3,1.28,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,0,155.48,104.11,47.52,0.0,3.85,2,3,1.36,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,1,155.48,104.11,47.52,0.0,3.85,2,3,1.41,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,2,155.48,104.11,47.52,0.0,3.85,2,3,1.44,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,3,155.48,104.11,47.52,0.0,3.85,2,3,1.37,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,4,155.48,104.11,47.52,0.0,3.85,2,3,1.4,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,5,155.48,104.11,47.52,0.0,3.85,2,3,1.4,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,6,155.48,104.11,47.52,0.0,3.85,2,3,1.31,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,7,155.48,104.11,47.52,0.0,3.85,2,3,1.42,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,8,155.48,104.11,47.52,0.0,3.85,2,3,1.39,True
RDL-n5-03,5,5000,0.1,0.4,0.997,100,9,155.48,104.11,47.52,0.0,3.85,2,3,1.37,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,0,165.55,161.25,3.29,0.0,1.01,4,1,1.33,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,1,165.55,161.25,3.29,0.0,1.01,4,1,1.28,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,2,165.55,161.25,3.29,0.0,1.01,4,1,1.29,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,3,165.55,161.25,3.29,0.0,1.01,4,1,1.26,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,4,165.55,161.25,3.29,0.0,1.01,4,1,1.22,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,5,165.55,161.25,3.29,0.0,1.01,4,1,1.24,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,6,165.55,161.25,3.29,0.0,1.01,4,1,1.27,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,7,165.55,161.25,3.29,0.0,1.01,4,1,1.25,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,8,165.55,161.25,3.29,0.0,1.01,4,1,1.17,True
RDL-n5-04,5,5000,0.1,0.4,0.997,100,9,165.55,161.25,3.29,0.0,1.01,4,1,1.18,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,0,146.77,128.33,17.13,0.0,1.32,4,1,1.24,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,1,146.77,128.33,17.13,0.0,1.32,4,1,1.19,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,2,146.77,128.33,17.13,0.0,1.32,4,1,1.21,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,3,146.77,128.33,17.13,0.0,1.32,4,1,1.24,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,4,146.77,128.33,17.13,0.0,1.32,4,1,1.2,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,5,146.77,128.33,17.13,0.0,1.32,4,1,1.21,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,6,146.77,128.33,17.13,0.0,1.32,4,1,1.2,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,7,146.77,128.33,17.13,0.0,1.32,4,1,1.27,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,8,146.77,128.33,17.13,0.0,1.32,4,1,1.22,True
RDL-n5-05,5,5000,0.1,0.4,0.997,100,9,146.77,128.33,17.13,0.0,1.32,4,1,1.23,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,0,143.34,120.67,20.88,0.0,1.79,3,2,1.32,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,1,143.8,108.65,30.69,0.0,4.46,2,3,1.33,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,2,143.34,120.67,20.88,0.0,1.79,3,2,1.3,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,3,143.34,120.67,20.88,0.0,1.79,3,2,1.29,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,4,143.34,120.67,20.88,0.0,1.79,3,2,1.26,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,5,143.34,120.67,20.88,0.0,1.79,3,2,1.29,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,6,143.8,108.65,30.69,0.0,4.46,2,3,1.26,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,7,143.34,120.67,20.88,0.0,1.79,3,2,1.27,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,8,143.34,120.67,20.88,0.0,1.79,3,2,1.27,True
RDL-n5-06,5,5000,0.1,0.4,0.997,100,9,143.34,120.67,20.88,0.0,1.79,3,2,1.26,True
RDL-n5-07,5,5000,0.1,0.4,0.997,100,0,183.14,145.14,34.9,0.0,3.11,2,3,1.32,True
RDL-n5-07,5,5000,0.1,0.4,0.997,100,1,183.14,145.14,34.9,0.0,3.11,2,3,1.29,True
RDL-n5-07,5,5000,0.1,0.4,0.997,100,2,183.14,145.14,34.9,0.0,3.11,2,3,1.4,True
RDL-n5-07,5,5000,0.1,0.4,0.997,100,3,183.14,145.14,34.9,0.0,3.11,2,3,1.43,True
