xi_min,xi_max,eta,psi,MeanRPD,MeanRank,AvgTime,FeasibleRuns,TotalRuns,InstanceCount,MeanRPD_n25
0.1,0.4,0.997,100,0.3276022334779537,3.25,17.26625,24,24,8,0.3276022334779537
0.2,0.5,0.995,100,0.3312443889523146,2.9375,25.42875,24,24,8,0.3312443889523146
0.2,0.5,0.999,100,0.5815554910092908,4.125,25.653750000000002,24,24,8,0.5815554910092908
0.2,0.5,0.997,100,0.6181056845193746,3.75,25.7875,24,24,8,0.6181056845193746
0.1,0.4,0.995,100,0.6723532812973138,4.125,17.379583333333333,24,24,8,0.6723532812973138
0.1,0.4,0.999,100,0.8444131137202344,6.25,17.289583333333333,24,24,8,0.8444131137202344
0.3,0.6,0.997,100,0.8456532022446204,5.6875,33.42833333333333,24,24,8,0.8456532022446204
0.3,0.6,0.999,100,1.1485023583631162,7.0,33.721666666666664,24,24,8,1.1485023583631162
0.3,0.6,0.995,100,1.203995843628006,7.875,33.10625,24,24,8,1.203995843628006
