variant,paired_runs,mean_rpd,std_rpd,ci95_half_width,mean_rpd_n25,mean_rpd_n50,win,tie,loss,feasible_rate,avg_time,wilcoxon_p,holm_p
Full-ALNS,160,0.0,0.0,0.0,0.0,0.0,0,160,0,100.0,104.8381267,1.0,1.0
Generic-ALNS,160,164.9993481961939,106.07018560205779,16.43574553862575,119.45501960988295,210.54367678250483,1,0,159,100.0,115.5050690625,5.339081441389514e-28,4.191627696301048e-27
No-Adaptive,160,0.368458932174779,2.2070143184969284,0.3419804116776743,0.2761438763411143,0.4607739880084437,60,16,84,100.0,87.207590075,0.09381712629011654,0.4690856314505827
No-Restart,160,0.18542785965860306,2.3820311600892228,0.36909955224538077,1.1573679258809464,-0.7865122065637402,69,7,84,100.0,96.79646073750001,0.6248613448488471,1.0
No-Penalty,160,0.13787808374873922,1.9952658848347322,0.3091696519517394,0.27536645214396505,0.00038971535351342015,66,13,81,100.0,102.71788345,0.3682288351928451,1.0
No-DelayAware,160,59.10278716092482,40.58056104327619,6.288023079588324,44.40547101070134,73.80010331114832,0,0,160,100.0,88.77350493125,5.23953462037631e-28,4.191627696301048e-27
No-ModeSwitch,160,-0.032585792731540435,1.7911015882013837,0.2775340664336056,0.019848450813226882,-0.08502003627630775,75,14,71,100.0,107.2227723,0.6139332647855797,1.0
No-TWRemoval,160,0.0011482933309543864,1.6898420051562473,0.26184373148386725,0.1327138304031133,-0.1304172437412045,69,14,77,100.0,100.87442100000001,0.9619395702587158,1.0
Basic-LNS,160,0.6167744506123813,2.4785927054634564,0.38406191871602613,1.5144779446704422,-0.2809290434456797,57,6,97,100.0,33.535525725,0.008895435243622388,0.05337261146173433
