Parameter,Level,XiMin,XiMax,Eta,Psi,MeanRPD,StdRPD,CI95HalfWidth,AvgCost_n25,FeasibleRate,AvgRestarts,AvgTime
Penalty,1e3,0.1,0.4,0.997,100,0.0,0.0,0.0,505.58498904166663,100.0,16.666666666666668,21.894020333333334
Penalty,1e4,0.1,0.4,0.997,100,0.0,0.0,0.0,505.58498904166663,100.0,16.666666666666668,19.939649666666668
Penalty,1e5,0.1,0.4,0.997,100,0.0,0.0,0.0,505.58498904166663,100.0,16.666666666666668,22.280514916666665
RestartFraction,0.025,0.1,0.4,0.997,100,0.16214036665264941,1.0508058848657018,0.4204099119836739,506.3880344583333,100.0,36.25,20.82793579166667
RestartFraction,0.050,0.1,0.4,0.997,100,0.0,0.0,0.0,505.58498904166663,100.0,16.666666666666668,19.939649666666668
RestartFraction,0.100,0.1,0.4,0.997,100,0.3861840710079389,0.9638695501549516,0.3856281341593131,507.62932625,100.0,6.625,19.908203333333333
