Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-tune-n25-02,25,10000,0.3,0.6,0.997,100,1,492.83,408.17,80.49,0.0,4.16,19,6,36.13,True
RDL-tune-n25-02,25,10000,0.3,0.6,0.997,100,2,490.65,406.36,80.49,0.0,3.8,19,6,34.73,True
RDL-tune-n25-02,25,10000,0.3,0.6,0.999,100,0,492.58,408.29,80.49,0.0,3.8,19,6,35.76,True
RDL-tune-n25-02,25,10000,0.3,0.6,0.999,100,1,491.0,406.35,80.49,0.0,4.16,19,6,37.08,True
RDL-tune-n25-02,25,10000,0.3,0.6,0.999,100,2,493.42,408.77,80.49,0.0,4.16,19,6,35.59,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.995,100,0,459.53,404.07,50.03,0.64,4.79,21,4,20.95,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.995,100,1,459.53,404.07,50.03,0.64,4.79,21,4,20.8,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.995,100,2,459.53,404.07,50.03,0.64,4.79,21,4,20.88,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.997,100,0,459.53,404.07,50.03,0.64,4.79,21,4,20.74,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.997,100,1,452.1,372.97,70.76,0.64,7.73,19,6,21.08,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.997,100,2,459.58,404.12,50.03,0.64,4.79,21,4,20.89,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.999,100,0,459.53,404.07,50.03,0.64,4.79,21,4,20.89,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.999,100,1,452.39,385.07,60.76,0.64,5.92,20,5,20.73,True
RDL-tune-n25-03,25,10000,0.1,0.4,0.999,100,2,455.47,395.0,50.03,5.65,4.79,21,4,20.73,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.995,100,0,452.39,385.07,60.76,0.64,5.92,20,5,31.61,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.995,100,1,452.39,385.07,60.76,0.64,5.92,20,5,30.41,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.995,100,2,452.39,385.07,60.76,0.64,5.92,20,5,30.94,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.997,100,0,459.53,404.07,50.03,0.64,4.79,21,4,31.42,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.997,100,1,452.39,385.07,60.76,0.64,5.92,20,5,31.02,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.997,100,2,452.63,385.31,60.76,0.64,5.92,20,5,31.53,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.999,100,0,459.54,404.08,50.03,0.64,4.79,21,4,30.85,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.999,100,1,452.39,385.07,60.76,0.64,5.92,20,5,31.12,True
RDL-tune-n25-03,25,10000,0.2,0.5,0.999,100,2,452.39,385.07,60.76,0.64,5.92,20,5,31.35,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.995,100,0,459.53,404.07,50.03,0.64,4.79,21,4,41.44,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.995,100,1,455.0,376.4,71.13,0.64,6.84,19,6,39.9,True
RDL-tune-n25-03,25,10000,0.3,0.6,0.995,100,2,459.53,404.07,50.03,0.64,4.79,21,4,41.1,True
