instance_name,parameter_name,parameter_value,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,max_delay,average_walking_distance,drone_utilization,feasible,cpu_time,incumbent_inherited,initial_incumbent_cost
RDL-n25-01,number_of_drones,8,4,10000,0.1,0.4,0.997,100,254.635795,229.20875,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.5,True,25.627405,True,256.6673193578413
RDL-n25-01,number_of_drones,10,4,10000,0.1,0.4,0.997,100,254.609666,229.182622,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.4,True,25.385698,True,254.6357951775099
RDL-n25-01,number_of_drones,12,4,10000,0.1,0.4,0.997,100,254.338496,228.911452,21.203031,0.0,4.224014,4,0.16,1.0,0.0,0.0,0.528002,0.333333,True,25.178259,True,254.60966649808674
RDL-n25-01,number_of_drones,0,5,10000,0.1,0.4,0.997,100,262.213712,262.213712,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,True,17.333602,False,
RDL-n25-01,number_of_drones,2,5,10000,0.1,0.4,0.997,100,253.896008,242.124593,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,1.0,True,19.511222,True,262.21371228480723
RDL-n25-01,number_of_drones,4,5,10000,0.1,0.4,0.997,100,253.869879,242.098465,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.5,True,23.170027,True,253.89600774051485
RDL-n25-01,number_of_drones,6,5,10000,0.1,0.4,0.997,100,253.869879,242.098465,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.333333,True,24.30339,True,253.86987906109175
RDL-n25-01,number_of_drones,8,5,10000,0.1,0.4,0.997,100,252.51998,226.650465,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.5,True,25.103862,True,253.86987906109175
RDL-n25-01,number_of_drones,10,5,10000,0.1,0.4,0.997,100,252.51998,226.650465,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.4,True,24.705461,True,252.51998036274637
RDL-n25-01,number_of_drones,12,5,10000,0.1,0.4,0.997,100,251.988272,226.118757,21.203031,0.0,4.666484,4,0.16,1.0,0.0,0.0,0.583311,0.333333,True,24.968037,True,252.51998036274637
RDL-n25-01,number_of_drones,0,6,10000,0.1,0.4,0.997,100,262.213712,262.213712,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,True,17.114223,False,
RDL-n25-01,number_of_drones,2,6,10000,0.1,0.4,0.997,100,256.693448,250.278137,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.5,True,20.070578,True,262.21371228480723
RDL-n25-01,number_of_drones,4,6,10000,0.1,0.4,0.997,100,256.667319,250.252008,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.25,True,22.395135,True,256.6934480372644
RDL-n25-01,number_of_drones,6,6,10000,0.1,0.4,0.997,100,253.869879,242.098465,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.333333,True,23.805682,True,256.6673193578412
RDL-n25-01,number_of_drones,8,6,10000,0.1,0.4,0.997,100,253.869879,242.098465,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.25,True,24.813088,True,253.8698790610917
RDL-n25-01,number_of_drones,10,6,10000,0.1,0.4,0.997,100,253.869879,242.098465,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.2,True,24.517223,True,253.8698790610917
RDL-n25-01,number_of_drones,12,6,10000,0.1,0.4,0.997,100,253.869879,242.098465,9.221111,0.0,2.550303,2,0.08,1.0,0.0,0.0,0.637576,0.166667,True,24.219126,True,253.8698790610917
RDL-n25-01,number_of_drones,0,7,10000,0.1,0.4,0.997,100,262.376124,262.376124,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,True,17.315792,False,
RDL-n25-01,number_of_drones,2,7,10000,0.1,0.4,0.997,100,256.693448,250.278137,5.464943,0.0,0.950368,1,0.04,1.0,0.0,0.0,0.475184,0.5,True,19.990946,True,262.3761236924752
